Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C20, C21",0402,5,100nF,
"C12, C14, C15",0402,3,1µF,C52923
C13,0402,1,1nF,
C16,0402,1,100nF,C15195
"C17, C8",0402,2,10nF,
"C18, C9",0402,2,10uF/6.3V,
"C19, C7",0402,2,10uF/16V,
"C3, C4",CP_EIA-3528-21_Kemet-B,2,22uF,C1957193
"C5, C6",0306,2,100nF,C2171054
"D1, D2",D_SMB,2,SS13A,
D3,LED_OptoSupply_OSXX4008C1F_4x1.4mm_Horizontal,1,OSM44008C1F,
J1,CARD_EDGE_PADS-1X2,1,HEADER-1X2CARD-EDGE,
J3,Molex_CLIK-Mate_502494-0470_1x04-1MP_P2.00mm_Horizontal,1,Molex 502494-0470,
J4,901-10511-3,1,901-10511-3,C5928875
"L1, L2",0805,2,4.7uH,
R1,0402,1,100Ω,C25082
R10,0402,1,1kΩ,C477760
"R11, R13",0402,2,24kΩ,C477760
"R12, R14",0402,2,4.7kΩ,C477760
R2,0402,1,100,C25082
R26,0402,1,1k,
"R3, R4, R5, R6",0402,4,1kΩ,C25091
R7,0402,1,10Ω,C477760
R9,0402,1,99kΩ,C477760
"U1, U2",SOT-23-6,2,OPA847xDBV,
"U3, U4",SOT-23-6,2,AP3211K,
