Designator,Mid X,Mid Y,Rotation,Layer
C1,135.636,-92.428,90.0,top
C10,136.398,-93.98,270.0,bottom
C12,155.448,-100.076,180.0,top
C13,139.192,-102.108,0.0,top
C14,162.052,-93.444,90.0,top
C15,162.052,-100.104,90.0,top
C16,157.988,-103.632,0.0,top
C17,155.448,-95.504,180.0,top
C18,147.066,-101.658,270.0,top
C19,156.972,-100.584,270.0,top
C2,134.62,-105.128,90.0,top
C20,134.874,-95.377,180.0,bottom
C21,132.842,-95.377,180.0,bottom
C3,159.766,-93.456,270.0,top
C4,159.766,-100.584,270.0,top
C5,132.842,-101.854,180.0,bottom
C6,135.001,-101.6,180.0,bottom
C7,162.588,-94.996,0.0,top
C8,155.448,-90.932,180.0,top
C9,146.048,-92.202,270.0,top
D1,150.876,-91.694,270.0,top
D2,150.876,-99.949,270.0,top
D3,137.414,-98.044,270.0,bottom
J1,126.7,-98.0,270.0,top
J3,162.0,-98.0,270.0,bottom
J4,170.94825,-97.98736,180.0,top
L1,147.572,-90.3775,270.0,top
L2,147.574,-97.82,270.0,top
R1,129.286,-96.7,0.0,top
R10,155.194,-101.854,90.0,top
R11,147.572,-92.71,180.0,top
R12,147.572,-93.726,0.0,top
R13,147.572,-100.106,0.0,top
R14,148.082,-101.63,270.0,top
R2,129.286,-99.314,0.0,top
R26,137.414,-93.98,90.0,bottom
R3,137.16,-102.108,180.0,top
R4,135.636,-101.598,90.0,top
R5,133.096,-98.806,180.0,top
R6,135.128,-98.806,0.0,top
R7,137.16,-98.806,0.0,top
R9,156.718,-102.362,180.0,top
U1,133.416,-101.7215,90.0,top
U2,133.416,-95.8905,90.0,top
U3,155.5695,-93.284,180.0,top
U4,155.448,-97.79,180.0,top
